Region,Codes/KOD,#,Categories Kategoriya,Description / Assortiment,Iyul,UZB-9-AXR,UZB-9-GUL,UZB-9-OPE,Tekshiruv,UZB-9-AXR.1,UZB-9-GUL.1,UZB-9-OPE.1,month
09 Sirdaryo,EP-OIL-130.060,37,GASOLINE,EPSENT NEOTEC 5W40 API SN/CJ-4 - 60L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EP-OIL-130.209,38,GASOLINE,EPSENT NEOTEC 5W40 API SN/CJ-4 - 209L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EP-OIL-150.001,39,GASOLINE,EPSENT PLUTON 0W20 API SP - 12x1L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EP-OIL-170.004,40,GASOLINE,EPSENT PLUTON 5W30 API SP - 4x4L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EP-OIL-250.001,41,GASOLINE,EPSENT TRITON 10W60 API SP - 12x1L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EP-OIL-260.001,42,GASOLINE,EPSENT TRITON 5W30 API SP - 12x1L,12,6,3,3,ok,120.0,60.0,60.0,iyul
09 Sirdaryo,EP-OIL-090.003,43,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF 6x3L,42,21,12,9,ok,117.60000000000001,67.2,50.400000000000006,iyul
09 Sirdaryo,EP-OIL-090.004,44,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF 4x4L,360,188,100,72,ok,1052.8,560.0,403.2,iyul
09 Sirdaryo,EP-OIL-090.060,45,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF - 60L,240,180,60,0,ok,872.9999999999999,291.0,0.0,iyul
09 Sirdaryo,EP-OIL-090.209,46,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF - 209L,1881,836,418,627,ok,4054.6,2027.3,3040.95,iyul
09 Sirdaryo,EP-OIL-050.020,47,DIESEL,EPSENT DEO-EXLD 10W40 SYN API CI-4 20L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EP-OIL-050.209,48,DIESEL,EPSENT DEO-EXLD 10W40 SYN API CI-4 209L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EP-OIL-080.020,49,DIESEL,EPSENT DEO-STABLE-AFT 15W40 API CI-4/SL - 20L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EP-OIL-080.209,50,DIESEL,EPSENT DEO-STABLE-AFT 15W40 API CI-4/SL - 209L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EP-OIL-191.001,51,TRANSMISS,EPSENT REDLINE CVT - 12x1L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EP-OIL-192.001,52,TRANSMISS,EPSENT REDLINE LV - 12x1L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EP-OIL-190.001,53,TRANSMISS,EPSENT REDLINE SYN OEM Dex VI 12x1L,255,127,70,59,1,947.42,522.2,440.14,iyul
09 Sirdaryo,EP-OIL-190.060,54,TRANSMISS,EPSENT REDLINE SYN OEM Dex VI 60L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EP-OIL-190.209,55,TRANSMISS,EPSENT REDLINE SYN OEM Dex VI 209L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EP-OIL-040.001,56,COOLANT,EPSENT COOLEN LONG-LIFE - 12x1L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EP-OIL-040.209,57,COOLANT,EPSENT COOLEN LONG-LIFE  - 209L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EP-OIL-272.001,58,4T,EPSENT FREEDOM-4T 10W40 API SN - 12x1L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EP-OIL-010.209,59,COMPRESSOR,EPSENT COMPRESSOR 2000 ISO 150 - 209L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EP-OIL-271.015,60,GREASE,EPSENT GREASE LITHIUM COMPLEX EP-2 - 15KG,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EP-OIL-270.015,61,GREASE,EPSENT GREASE LITHIUM EP-2 - 15KG,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EP-OIL-140.001,62,GEAR OIL,EPSENT PLUGEAR 75W90 API GL-4/5/MT-1 - 12x1L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EP-OIL-220.001,63,GEAR OIL,EPSENT SYN-GEAR 75W90 API GL-4 12x1L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EP-OIL-200.020,64,SOJ,EPSENT STEELCUT SOLUBLE-100 - 20L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EP-OF-557,65,FILTER,"EPSENT Oil-Filter DF557 SILVER Malibu-2, Captiva3.",261,130,71,60,ok,260.0,142.0,120.0,iyul
09 Sirdaryo,EP-OF-581,66,FILTER,"EPSENT Oil-Filter DF581 SILVER Spark, Cobalt, Gent",3,1,1,1,ok,1.15,1.15,1.15,iyul
09 Sirdaryo,EP-OF-582,67,FILTER,"EPSENT Oil-Filter DF582 PREMIUM Spark, Cobalt, Gen",953,473,260,219,-1,543.9499999999999,299.0,251.85,iyul
09 Sirdaryo,EP-OF-690,68,FILTER,EPSENT Oil-Filter DF690 SILVER EQUINOX 2,2,1,1,0,ok,3.0,3.0,0.0,iyul
09 Sirdaryo,EP-OF-732,69,FILTER,"EPSENT Oil-Filter DF732 SILVER Lacetti, DOHC, Tacu",1,0,0,0,-1,0.0,0.0,0.0,iyul
09 Sirdaryo,EP-OF-733,70,FILTER,"EPSENT Oil-Filter DF733 PREMIUM Lacetti, DOHC, Tac",624,310,171,144,1,372.0,205.2,172.79999999999998,iyul
09 Sirdaryo,EP-OF-874,71,FILTER,"EPSENT Oil-Filter DF874 SILVER Damas, Tico, Matiz",11,5,3,3,ok,5.75,3.4499999999999997,3.4499999999999997,iyul
09 Sirdaryo,EP-OF-875,72,FILTER,"EPSENT Oil-Filter DF875 PREMIUM Damas, Tico, Matiz",177,88,48,41,ok,101.19999999999999,55.199999999999996,47.15,iyul
09 Sirdaryo,EP-AF-122,73,FILTER,EPSENT Air-Filter AF122 Malibu 2,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EP-AF-172,74,FILTER,EPSENT Air-Filter AF172 Malibu 1,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EP-AF-310,75,FILTER,"EPSENT Air-Filter AF310 Tracker 2, Onix",50,25,14,12,1,46.25,25.900000000000002,22.200000000000003,iyul
09 Sirdaryo,EP-AF-311,76,FILTER,"EPSENT Air-Filter AF311 Tracker 2, Onix",76,38,21,17,ok,87.39999999999999,48.3,39.099999999999994,iyul
09 Sirdaryo,EP-AF-440,77,FILTER,EPSENT Air-Filter AF440 Nexia 3,11,5,3,3,ok,10.25,6.1499999999999995,6.1499999999999995,iyul
09 Sirdaryo,EP-AF-599,78,FILTER,EPSENT Air-Filter AF599 Spark 1.0,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EP-AF-600,79,FILTER,EPSENT Air-Filter AF600 Spark 1.0,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EP-AF-601,80,FILTER,EPSENT Air-Filter AF601 Spark 1.25,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EP-AF-605,81,FILTER,EPSENT Air-Filter AF605 Nexia 1,17,8,5,4,ok,12.4,7.75,6.2,iyul
09 Sirdaryo,EP-AF-663,82,FILTER,EPSENT Air-Filter AF663 Captiva 1,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EP-AF-701,83,FILTER,EPSENT Air-Filter AF701 Lacetti,78,39,21,18,ok,91.65,49.35,42.300000000000004,iyul
09 Sirdaryo,EP-AF-715,84,FILTER,EPSENT Air-Filter AF715 Cobalt,10,5,3,2,ok,9.25,5.550000000000001,3.7,iyul
09 Sirdaryo,EP-AF-859,85,FILTER,EPSENT Air-Filter AF859 Matiz,11,5,3,3,ok,8.0,4.800000000000001,4.800000000000001,iyul
09 Sirdaryo,EP-AF-951,86,FILTER,EPSENT Air-Filter AF951 Damas,88,44,24,20,ok,99.0,54.0,45.0,iyul
09 Sirdaryo,EP-AF-957,87,FILTER,EPSENT Air-Filter AF957 Tico,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,LB-004.020,88,HYDRAULIC,LUBRENT HYDRAULIC RADEON 46 - 20L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,LB-005.004,89,GASOLINE,LUBRENT SPECTOR BLAZE 5W30 - API SN 4x4L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,LB-001.003,90,GASOLINE,LUBRENT SPECTOR ATLON 10W40 - API SG 6x3L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,LB-001.004,91,GASOLINE,LUBRENT SPECTOR ATLON 10W40 - API SG 4x4L,224,112,60,52,ok,395.08,211.64999999999998,183.43,iyul
09 Sirdaryo,LB-003.003,92,GASOLINE,LUBRENT SPECTOR UNITY 10W40 - API SL/CF 6x3L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,LB-003.004,93,GASOLINE,LUBRENT SPECTOR UNITY 10W40 - API SL/CF 4x4L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,LB-002.003,94,GASOLINE,LUBRENT SPECTOR ATLON 15W40 - API SG 6x3L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,LB-002.004,95,GASOLINE,LUBRENT SPECTOR ATLON 15W40 - API SG 4x4L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,LB-002.020,96,GASOLINE,LUBRENT SPECTOR ATLON 15W40 - API SG 20L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,LB-060.020,97,DIESEL,LUBRENT DMO OPTIMAL API CI-4/SL 15W40 -  20L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,LB-091.020,98,DIESEL,LUBRENT DMO PRESENT API CF-4/SG 20W50 -  20L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,LB-080.020,99,COMPRESSOR,LUBRENT COMPRESSOR ARC 150 -  20L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,KB001.001,100,COOLANT,KB ANTIFRIZ G-11 -40С Kok - 12x1KG,80,40,22,18,ok,82.4,45.32,37.08,iyul
09 Sirdaryo,KB001.005,101,COOLANT,KB ANTIFRIZ G-11 -40С Kok - 3x5KG,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,KB001.020,102,COOLANT,KB ANTIFRIZ G-11 -40С Kok - 20KG,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,KB002.001,103,COOLANT,KB ANTIFRIZ G-12 -40С Qizil - 12x1KG,80,40,22,18,ok,84.0,46.2,37.800000000000004,iyul
09 Sirdaryo,KB002.005,104,COOLANT,KB ANTIFRIZ G-12 -40С Qizil - 3x5KG,20,10,5,5,ok,17.0,8.5,8.5,iyul
09 Sirdaryo,KB002.020,105,COOLANT,KB ANTIFRIZ G-12 -40С Qizil - 20KG,1180,580,320,280,ok,855.5,472.0,413.0,iyul
09 Sirdaryo,KB001.010,106,COOLANT,KB ANTIFRIZ G-11 -40С Kok - 10KG,40,20,10,10,ok,29.5,14.75,14.75,iyul
09 Sirdaryo,KB002.010,107,COOLANT,KB ANTIFRIZ G-12 -40С Qizil - 10KG,30,10,10,10,ok,15.0,15.0,15.0,iyul
